Bloco 1: xi = 34, yi = 72, xf = 50, yf = 88
Bloco 2: xi = 50, yi = 72, xf = 66, yf = 88
Bloco 3: xi = 66, yi = 72, xf = 82, yf = 88
Bloco 4: xi = 82, yi = 72, xf = 98, yf = 88
Bloco 5: xi = 98, yi = 72, xf = 114, yf = 88
Bloco 6: xi = 114, yi = 72, xf = 130, yf = 88
Bloco 7: xi = 130, yi = 72, xf = 146, yf = 88
Bloco 8: xi = 146, yi = 72, xf = 162, yf = 88
Bloco 9: xi = 162, yi = 72, xf = 178, yf = 88
Bloco 10: xi = 178, yi = 72, xf = 194, yf = 88
Bloco 11: xi = 34, yi = 88, xf = 50, yf = 104
Bloco 12: xi = 50, yi = 88, xf = 66, yf = 104
Bloco 13: xi = 66, yi = 88, xf = 82, yf = 104
Bloco 14: xi = 82, yi = 88, xf = 98, yf = 104
Bloco 15: xi = 98, yi = 88, xf = 114, yf = 104
Bloco 16: xi = 114, yi = 88, xf = 130, yf = 104
Bloco 17: xi = 130, yi = 88, xf = 146, yf = 104
Bloco 18: xi = 146, yi = 88, xf = 162, yf = 104
Bloco 19: xi = 162, yi = 88, xf = 178, yf = 104
Bloco 20: xi = 178, yi = 88, xf = 194, yf = 104
Bloco 1: xi = 72, yi = 34, xf = 88, yf = 50
Bloco 2: xi = 88, yi = 34, xf = 104, yf = 50
Bloco 3: xi = 104, yi = 34, xf = 120, yf = 50
Bloco 4: xi = 120, yi = 34, xf = 136, yf = 50
Bloco 5: xi = 136, yi = 34, xf = 152, yf = 50
Bloco 6: xi = 152, yi = 34, xf = 168, yf = 50
Bloco 7: xi = 168, yi = 34, xf = 184, yf = 50
Bloco 8: xi = 184, yi = 34, xf = 200, yf = 50
Bloco 9: xi = 200, yi = 34, xf = 216, yf = 50
Bloco 10: xi = 216, yi = 34, xf = 232, yf = 50
Bloco 11: xi = 232, yi = 34, xf = 248, yf = 50
Bloco 12: xi = 72, yi = 50, xf = 88, yf = 66
Bloco 13: xi = 88, yi = 50, xf = 104, yf = 66
Bloco 14: xi = 104, yi = 50, xf = 120, yf = 66
Bloco 15: xi = 120, yi = 50, xf = 136, yf = 66
Bloco 16: xi = 136, yi = 50, xf = 152, yf = 66
Bloco 17: xi = 152, yi = 50, xf = 168, yf = 66
Bloco 18: xi = 168, yi = 50, xf = 184, yf = 66
Bloco 19: xi = 184, yi = 50, xf = 200, yf = 66
Bloco 20: xi = 200, yi = 50, xf = 216, yf = 66
Bloco 21: xi = 216, yi = 50, xf = 232, yf = 66
Bloco 22: xi = 232, yi = 50, xf = 248, yf = 66
Bloco 23: xi = 72, yi = 66, xf = 88, yf = 82
Bloco 24: xi = 88, yi = 66, xf = 104, yf = 82
Bloco 25: xi = 104, yi = 66, xf = 120, yf = 82
Bloco 26: xi = 120, yi = 66, xf = 136, yf = 82
Bloco 27: xi = 136, yi = 66, xf = 152, yf = 82
Bloco 28: xi = 152, yi = 66, xf = 168, yf = 82
Bloco 29: xi = 168, yi = 66, xf = 184, yf = 82
Bloco 30: xi = 184, yi = 66, xf = 200, yf = 82
Bloco 31: xi = 200, yi = 66, xf = 216, yf = 82
Bloco 32: xi = 216, yi = 66, xf = 232, yf = 82
Bloco 33: xi = 232, yi = 66, xf = 248, yf = 82
Bloco 34: xi = 72, yi = 82, xf = 88, yf = 98
Bloco 35: xi = 88, yi = 82, xf = 104, yf = 98
Bloco 36: xi = 104, yi = 82, xf = 120, yf = 98
Bloco 37: xi = 120, yi = 82, xf = 136, yf = 98
Bloco 38: xi = 136, yi = 82, xf = 152, yf = 98
Bloco 39: xi = 152, yi = 82, xf = 168, yf = 98
Bloco 40: xi = 168, yi = 82, xf = 184, yf = 98
Bloco 41: xi = 184, yi = 82, xf = 200, yf = 98
Bloco 42: xi = 200, yi = 82, xf = 216, yf = 98
Bloco 43: xi = 216, yi = 82, xf = 232, yf = 98
Bloco 44: xi = 232, yi = 82, xf = 248, yf = 98
Bloco 45: xi = 72, yi = 98, xf = 88, yf = 114
Bloco 46: xi = 88, yi = 98, xf = 104, yf = 114
Bloco 47: xi = 104, yi = 98, xf = 120, yf = 114
Bloco 48: xi = 120, yi = 98, xf = 136, yf = 114
Bloco 49: xi = 136, yi = 98, xf = 152, yf = 114
Bloco 50: xi = 152, yi = 98, xf = 168, yf = 114
Bloco 51: xi = 168, yi = 98, xf = 184, yf = 114
Bloco 52: xi = 184, yi = 98, xf = 200, yf = 114
Bloco 53: xi = 200, yi = 98, xf = 216, yf = 114
Bloco 54: xi = 216, yi = 98, xf = 232, yf = 114
Bloco 55: xi = 232, yi = 98, xf = 248, yf = 114
Bloco 56: xi = 72, yi = 114, xf = 88, yf = 130
Bloco 57: xi = 88, yi = 114, xf = 104, yf = 130
Bloco 58: xi = 104, yi = 114, xf = 120, yf = 130
Bloco 59: xi = 120, yi = 114, xf = 136, yf = 130
Bloco 60: xi = 136, yi = 114, xf = 152, yf = 130
Bloco 61: xi = 152, yi = 114, xf = 168, yf = 130
Bloco 62: xi = 168, yi = 114, xf = 184, yf = 130
Bloco 63: xi = 184, yi = 114, xf = 200, yf = 130
Bloco 64: xi = 200, yi = 114, xf = 216, yf = 130
Bloco 65: xi = 216, yi = 114, xf = 232, yf = 130
Bloco 66: xi = 232, yi = 114, xf = 248, yf = 130
Bloco 67: xi = 72, yi = 130, xf = 88, yf = 146
Bloco 68: xi = 88, yi = 130, xf = 104, yf = 146
Bloco 69: xi = 104, yi = 130, xf = 120, yf = 146
Bloco 70: xi = 120, yi = 130, xf = 136, yf = 146
Bloco 71: xi = 136, yi = 130, xf = 152, yf = 146
Bloco 72: xi = 152, yi = 130, xf = 168, yf = 146
Bloco 73: xi = 168, yi = 130, xf = 184, yf = 146
Bloco 74: xi = 184, yi = 130, xf = 200, yf = 146
Bloco 75: xi = 200, yi = 130, xf = 216, yf = 146
Bloco 76: xi = 216, yi = 130, xf = 232, yf = 146
Bloco 77: xi = 232, yi = 130, xf = 248, yf = 146
Bloco 78: xi = 72, yi = 146, xf = 88, yf = 162
Bloco 79: xi = 88, yi = 146, xf = 104, yf = 162
Bloco 80: xi = 104, yi = 146, xf = 120, yf = 162
Bloco 81: xi = 120, yi = 146, xf = 136, yf = 162
Bloco 82: xi = 136, yi = 146, xf = 152, yf = 162
Bloco 83: xi = 152, yi = 146, xf = 168, yf = 162
Bloco 84: xi = 168, yi = 146, xf = 184, yf = 162
Bloco 85: xi = 184, yi = 146, xf = 200, yf = 162
Bloco 86: xi = 200, yi = 146, xf = 216, yf = 162
Bloco 87: xi = 216, yi = 146, xf = 232, yf = 162
Bloco 88: xi = 232, yi = 146, xf = 248, yf = 162
Bloco 89: xi = 72, yi = 162, xf = 88, yf = 178
Bloco 90: xi = 88, yi = 162, xf = 104, yf = 178
Bloco 91: xi = 104, yi = 162, xf = 120, yf = 178
Bloco 92: xi = 120, yi = 162, xf = 136, yf = 178
Bloco 93: xi = 136, yi = 162, xf = 152, yf = 178
Bloco 94: xi = 152, yi = 162, xf = 168, yf = 178
Bloco 95: xi = 168, yi = 162, xf = 184, yf = 178
Bloco 96: xi = 184, yi = 162, xf = 200, yf = 178
Bloco 97: xi = 200, yi = 162, xf = 216, yf = 178
Bloco 98: xi = 216, yi = 162, xf = 232, yf = 178
Bloco 99: xi = 232, yi = 162, xf = 248, yf = 178
Bloco 100: xi = 72, yi = 178, xf = 88, yf = 194
Bloco 101: xi = 88, yi = 178, xf = 104, yf = 194
Bloco 102: xi = 104, yi = 178, xf = 120, yf = 194
Bloco 103: xi = 120, yi = 178, xf = 136, yf = 194
Bloco 104: xi = 136, yi = 178, xf = 152, yf = 194
Bloco 105: xi = 152, yi = 178, xf = 168, yf = 194
Bloco 106: xi = 168, yi = 178, xf = 184, yf = 194
Bloco 107: xi = 184, yi = 178, xf = 200, yf = 194
Bloco 108: xi = 200, yi = 178, xf = 216, yf = 194
Bloco 109: xi = 216, yi = 178, xf = 232, yf = 194
Bloco 110: xi = 232, yi = 178, xf = 248, yf = 194
Bloco 111: xi = 72, yi = 194, xf = 88, yf = 210
Bloco 112: xi = 88, yi = 194, xf = 104, yf = 210
Bloco 113: xi = 104, yi = 194, xf = 120, yf = 210
Bloco 114: xi = 120, yi = 194, xf = 136, yf = 210
Bloco 115: xi = 136, yi = 194, xf = 152, yf = 210
Bloco 116: xi = 152, yi = 194, xf = 168, yf = 210
Bloco 117: xi = 168, yi = 194, xf = 184, yf = 210
Bloco 118: xi = 184, yi = 194, xf = 200, yf = 210
Bloco 119: xi = 200, yi = 194, xf = 216, yf = 210
Bloco 120: xi = 216, yi = 194, xf = 232, yf = 210
Bloco 121: xi = 232, yi = 194, xf = 248, yf = 210
